Id,NOME,IdRegional,Área,IdEstabelecimentosFavela,IdDomicilios,IdPopulacao
435,Vila Horto Florestal,3,4416,146,146,146
14,Vila Independência I,1,115424,147,147,147
200,Vila Independência II,1,42834,148,148,148
201,Vila Independência IV,1,28808,149,149,149
523,Vila Independência V,1,13880,150,150,150
75,Vila Inestan,5,14124,151,151,151
89,Vila Ipiranga,5,3038,152,152,152
94,Vila Jardim Alvorada,8,228714,153,153,153
169,Vila Jardim Leblon,9,12940,154,154,154
100,Vila Jardim Montanhês,8,20375,155,155,155
204,Vila Madre Gertrudes I,4,56837,156,156,156
205,Vila Madre Gertrudes II,4,8673,157,157,157
511,Vila Madre Gertrudes III,4,15464,158,158,158
517,Vila Madre Gertrudes IV,4,1437,159,159,159
518,Vila Madre Gertrudes V,4,10245,160,160,160
95,Vila Maloca,6,15910,161,161,161
10,Vila Mangueiras,1,80477,162,162,162
170,Vila Mantiqueira,9,25226,163,163,163
90,Vila Maria,5,125582,164,164,164
128,Vila Minaslândia,7,29711,165,165,165
171,Vila Nossa Senhora Aparecida,9,65117,166,166,166
56,Vila Nossa Senhora do Rosário,3,22536,167,167,167
444,Vila Nova,5,13836,168,168,168
104,Vila Nova Cachoeirinha I,6,56998,169,169,169
188,Vila Nova Cachoeirinha II,6,5394,170,170,170
77,Vila Nova Cachoeirinha IV,5,12134,171,171,171
525,Vila Nova Cintra,4,5481,172,172,172
23,Vila Nova dos Milionários,1,10329,173,173,173
142,Vila Nova Gameleira I,4,19810,174,174,174
187,Vila Nova Gameleira II,4,48459,175,175,175
143,Vila Nova Gameleira III,4,4903,176,176,176
151,Vila Nova Paraíso,3,20831,177,177,177
33,Vila Novo São Lucas,2,134136,178,178,178
105,Vila Oeste,6,33263,179,179,179
505,Vila Ouro Minas,5,29674,180,180,180
157,Vila Paquetá,8,9573,181,181,181
16,Vila Paraíso,3,17647,182,182,182
429,Vila Petrópolis,1,10157,183,183,183
6,Vila Pinho,1,350773,184,184,184
17,Vila Piratininga,1,49548,185,185,185
219,Vila Piratininga A,9,7191,186,186,186
130,Vila Primeiro de Maio,7,135677,187,187,187
108,Vila Puc,6,2489,188,188,188
526,Vila Rica São José,8,2410,189,189,189
36,Vila Santa Lúcia,2,231296,190,190,190
173,Vila Santa Mônica,9,53579,191,191,191
158,Vila Santa Rosa,8,28282,192,192,192
159,Vila Santo Antônio,8,2926,193,193,193
513,Vila São Bento,2,32995,194,194,194
160,Vila São Francisco,8,2195,195,195,195
508,Vila São Gabriel,5,17071,196,196,196
59,Vila São Geraldo,3,3123,197,197,197
174,Vila São João Batista,9,81132,198,198,198
112,Vila São José,8,1109,199,199,199
81,Vila São Paulo,5,65307,200,200,200
132,Vila São Tomaz,7,188518,201,201,201
222,Vila Satélite,9,9052,202,202,202
426,Vila Sesc I,9,9825,203,203,203
427,Vila Sesc II,9,1001,204,204,204
115,Vila Sumaré,6,66139,205,205,205
161,Vila Suzana I,8,32733,206,206,206
227,Vila Suzana II,8,3175,207,207,207
82,Vila Tiradentes,5,39814,208,208,208
19,Vila Tirol,1,5848,209,209,209
440,Vila Trevo,8,13380,210,210,210
62,Vila União,3,11421,211,211,211
181,Vila Vera Cruz I,3,6925,212,212,212
520,Vila Vera Cruz II,3,1115,213,213,213
528,Vila Verde,9,7196,214,214,214
152,Vila Vista Alegre,4,326788,215,215,215
527,Vila Viveiro,9,27163,216,216,216
430,Vitória da Conquista,1,91664,217,217,217
121,Zilah Spósito,7,107574,218,218,218
